Sort,Common Name,Scientific Name,Group,order,family,taxonomic notes,Canada,USA,Mexico,C America,Mig Status,Introduced,Nonbreeding only,PS-g,PS-g_s,PS-g_com,Global Pop Size, Global Pop Size# , Pop Size_US-Ca , Pop Size_US-Ca# ,PopYr,Pop Size_US-Ca_s,Pop Size_US-Ca_com,BD-g, BD area ,BD-g_s,BD-g_com,ND-g, ND area ,ND-g_s,ND-g_com,TB-c,TB-c_s,TB-c_com,CV-b,CV-b certainty,TN-c,TN-c_s,TN-c_com,CV-w,CV-w certainty,PT-c,PT-c_s,PT-c_com,LT % change,LT trend (%/yr),LT trend 90% lcl,LT trend 90% ucl,LT sig,ST % change,ST trend (%/yr),ST trend 90% lcl,ST trend 90% ucl,ST sig,ST yrs,core/extended BBS,LT CI width,N,RA,NxRA,Half-Life,CCS-b,CCS-n,CCS-max,Continental Importance,IUCN Red List 2023,Urban,Agriculture,Breeding Biome,Nonbreeding Biome,Primary Breeding Habitat,Secondary Breeding Habitat,Primary Nonbreeding Habitat,Secondary Nonbreeding Habitat
1,Highland Tinamou,Nothocercus bonapartei,landbird,Tinamiformes,Tinamidae,,0,0,0,1,R,,,4,PIF CAW 2016,,,,,,,,,4,"138,446",NatureServe,,4,"138,446",NatureServe,,3,PIF CAW 2014,cacer a; ganader a; la parte de su rango en Panam  no est  bien protegida,,,3,PIF CAW 2014,,,,4,PIF CAW 2014,h bitat bien conservado;,,,,,,,,,,,,,,,,,,15,15,15,Yellow Watch List,,,,Central and South American Highlands,Central and South American Highlands,Forests:  Tropical Montane Evergreen,,Forests:  Tropical Montane Evergreen,
2,Great Tinamou,Tinamus major,landbird,Tinamiformes,Tinamidae,,0,0,1,1,R,,,2,PIF CAW 2016,score change from 3 to 2 recommended by Central Americans in 2016,,,,,,,,1,"6,608,444",Natureserve 3.0,,1,"6,608,444",Natureserve 3.0,,3,MX-NSAC,.,,,3,MX-NSAC,"dependent on primary forest; habitat loss, hunting",,,4,PIF CAW 2014,"depends largely on lowland rainforests in Central America, which have been reduced by more than 50% (AP)",,,,,,,,,,,,,,,,,,10,10,10,,,,,Neotropical,Neotropical,Forests:  Tropical Lowland Evergreen,,Forests:  Tropical Lowland Evergreen,
3,Little Tinamou,Crypturellus soui,landbird,Tinamiformes,Tinamidae,,0,0,1,1,R,,,3,Gomez-Panjabi.  PIF CAW 2016,"zonas perturbadas, es f cil escucharlo, pero dificil de verlo (CAW);",,,,,,,,1,"9,557,681",Natureserve 3.0,,1,"9,557,681",Natureserve 3.0,,3,MX-NSAC,"TB=3 more appropriate due to preference for second growth, edge.",,,3,MX-NSAC,"dependent on primary forest; habitat loss, hunting",,,4,PIF CAW 2014,,,,,,,,,,,,,,,,,,,11,11,11,,,,,Neotropical,Neotropical,Forests:  Tropical Lowland Evergreen,,Forests:  Tropical Lowland Evergreen,
4,Thicket Tinamou,Crypturellus cinnamomeus,landbird,Tinamiformes,Tinamidae,,0,0,1,1,R,,,4,Gomez-Panjabi.  PIF CAW 2016,"se puede encontrar en  reas perturbadas, o  reas perifericas (CAW);",,,,,,,,3,"606,352",Natureserve 3.0,,3,"606,352",Natureserve 3.0,,3,MX-NSAC,,,,3,MX-NSAC,"hunting, habitat loss",,,4,PIF CAW 2014,,,,,,,,,,,,,,,,,,,14,14,14,Yellow Watch List,,,,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests:  Tropical Dry,,Forests:  Tropical Dry,
5,Slaty-breasted Tinamou,Crypturellus boucardi,landbird,Tinamiformes,Tinamidae,,0,0,1,1,R,,,5,Gomez-Panjabi,,,,,,,,,3,"335,581",Natureserve 3.0,,3,"335,581",Natureserve 3.0,,4,MX-NSAC,,,,4,MX-NSAC,"dependent on primary forest; habitat loss, hunting",,,4,PIF CAW 2014,,,,,,,,,,,,,,,,,,,16,16,16,Yellow Watch List; Tipping Point,VU,,,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests:  Tropical Lowland Evergreen,,Forests:  Tropical Lowland Evergreen,
6,Choco Tinamou,Crypturellus kerriae,landbird,Tinamiformes,Tinamidae,Monotypic.,0,0,0,1,R,,,5,PIF CAW 2016,,,,,,,,,5,908,NatureServe,,5,908,NatureServe,,3,PIF CAW 2014,cacer a; mayor a de su poblaci n est  en parque de Dari n,,,3,PIF CAW 2014,,,,3,PIF CAW 2014,,,,,,,,,,,,,,,,,,,16,16,16,Yellow Watch List,NT,,,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests:  Tropical Lowland Evergreen,,Forests:  Tropical Lowland Evergreen,
8,Black-bellied Whistling-Duck,Dendrocygna autumnalis,waterfowl,Anseriformes,Anatidae,,0,1,1,1,M,,,3,"IUCN, WPE5",Assumed 2/3 of individual estimate are breeding adults.,"1,000,000","1,000,000",,,,,,1,"9,326,631",Natureserve,,1,"9,178,240",Natureserve,,3,PIFTC-02; PIFSC-CVS 2022,,1,H,3,PIFTC-02; PIFSC-CVS 2022,,1,H,1,"BBS7021-AS,JS",,1964,6.11,4.34,8.16,1,62.76,4.99,-0.61,11.23,,10,core,3.82,193.5,3.73,722.9,,8,8,8,,,yes,w,Neotropical,Neotropical,Wetlands:  Generalist,,Wetlands:  Generalist,
10,Fulvous Whistling-Duck,Dendrocygna bicolor,waterfowl,Anseriformes,Anatidae,Monotypic.,0,1,1,1,M,,,3,Birdlife International 2019,survey timing unclear; no adjustment applied,"1,400,000","1,400,000","120,000","120,000",,BNA Hohman & Lee 2001,,1,"4,305,929",Natureserve,,1,"4,211,088",Natureserve,,3,PIFTC-02; PIFSC-CVS 2022,,2,M-H,3,PIFTC-02; PIFSC-CVS 2022,,2,M-H,2,MX-NSAC; PIF CAW 2014,unknown (MX-NSAC),,,,,,,,,,,,,,,,,,9,9,9,,,,"b,w",Neotropical,Neotropical,Wetlands:  Freshwater Marsh,,Wetlands:  Freshwater Marsh,Coasts:  Saltmarsh
11,Emperor Goose,Anser canagicus,waterfowl,Anseriformes,Anatidae,Monotypic. Formerly placed in the genus Chen.,1,1,0,0,M,,,4,CAFF18,"spring count, no adjustment applied","98,000","98,000","98,000","98,000",2014,CAFF18,,5,"36,353","Natureserve, with Old World extrapolation",,4,"269,964","Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,4,TrUST 2016; PIFSC-CVS 2022,less adaptable than other geese species (TrUST 2016),5,H,3,TrUST 2016,"wintering on aleutian island chain, potentially susceptible to climate change (sea level rise); specialized on sensitive habitats; herbivores in intertidal zone (TrUST 2016)",,,2,"CAFF8516, CBC7019-JS",,47.3,0.81,-4.1,4.4,,26.34,0.98,-4.3,8.9,,24,,8.5,,,,,15,13,15,Yellow Watch List,,,,Arctic,Pacific North America,Coasts:  Saltmarsh,,Coasts:  Marine Waters,Coasts:  Rocky Intertidal
12,Snow Goose,Anser caerulescens,waterfowl,Anseriformes,Anatidae,Formerly placed in the genus Chen.,1,1,1,1,M,,,2,"CAFF18, eBird7017(UsCa,WHem), PIF(Glob)",extrapolated from US/Canada estimate from first source listed using %US/Canada estimated from the other source(s) listed,"16,000,000","16,000,000","15,000,000","15,000,000",2014,CAFF18,,3,"534,961","Natureserve, with Old World extrapolation",,2,"1,760,923",Natureserve,,4,TrUST 2016; PIFSC-CVS 2022,"Increasing substantially on breeding grounds and significantly altering the landscape; habitat effects unpredictable, but SNGO could be its own greatest threat (TrUST 2016).",5,H,2,TrUST 2016; PIFSC-CVS 2022,,2,M-H,1,"CAFF7016, CBC7019-JS",,1600.54,6.12,4.6,9.33,1,983.36,10,3.6,20.28,1,25,,4.73,,,,,10,7,10,,,,w,Arctic,Nearctic,Wetlands:  Tundra,Tundra:  Arctic,Wetlands:  Generalist,
