SpeciesCommonName,ScientificName,Type,RiskName,RiskIndex,,,,
Highland Tinamou,Nothocercus bonapartei,landbird,Eagles,0.28,,,,
Great Tinamou,Tinamus major,landbird,Snakes,0.17,,,,
Little Tinamou,Crypturellus soui,landbird,Ferrets,0.94,,,,
Thicket Tinamou,Crypturellus cinnamomeus,landbird,Snakes,0.3,,,,
Slaty-breasted Tinamou,Crypturellus boucardi,landbird,Eagles,0.82,,,,
Choco Tinamou,Crypturellus kerriae,landbird,Eagles,0.92,,,,
Black-bellied Whistling-Duck,Dendrocygna autumnalis,waterfowl,Coyotes,0.06,,,,
Fulvous Whistling-Duck,Dendrocygna bicolor,waterfowl,Opossums,0.99,,,,
Emperor Goose,Anser canagicus,waterfowl,Opossums,0.44,,,,
Snow Goose,Anser caerulescens,waterfowl,Snakes,0.4,,,,
Ross's Goose,Anser rossii,waterfowl,Snakes,0.55,,,,
Greater White-fronted Goose,Anser albifrons,waterfowl,Opossums,0.48,,,,
Brant,Branta bernicla,waterfowl,Opossums,0.71,,,,
Cackling Goose,Branta hutchinsii,waterfowl,Snakes,0.72,,,,
Canada Goose,Branta canadensis,waterfowl,Snakes,0.75,,,,
Mute Swan,Cygnus olor,waterfowl,Snakes,0.6,,,,
Trumpeter Swan,Cygnus buccinator,waterfowl,Snakes,0.97,,,,
Tundra Swan,Cygnus columbianus,waterfowl,Foxes,0.57,,,,
Muscovy Duck,Cairina moschata,waterfowl,Opossums,0.06,,,,
Wood Duck,Aix sponsa,waterfowl,Snakes,0.55,,,,
Blue-winged Teal,Spatula discors,waterfowl,Opossums,0.27,,,,
Cinnamon Teal,Spatula cyanoptera,waterfowl,Snakes,0.92,,,,
Northern Shoveler,Spatula clypeata,waterfowl,Foxes,0.22,,,,
Gadwall,Mareca strepera,waterfowl,Coyotes,0.35,,,,
Eurasian Wigeon,Mareca penelope,waterfowl,Coyotes,0.78,,,,
American Wigeon,Mareca americana,waterfowl,Coyotes,0.7,,,,
Mallard,Anas platyrhynchos,waterfowl,Coyotes,0.01,,,,
Mexican Duck,Anas diazi,waterfowl,Coyotes,0.08,,,,
American Black Duck,Anas rubripes,waterfowl,Foxes,0.29,,,,
Mottled Duck,Anas fulvigula,waterfowl,Opossums,0.58,,,,
Northern Pintail,Anas acuta,waterfowl,Opossums,0.43,,,,
Green-winged Teal,Anas crecca,waterfowl,Opossums,0.91,,,,
Canvasback,Aythya valisineria,waterfowl,Foxes,0.44,,,,
Redhead,Aythya americana,waterfowl,Snakes,0.32,,,,
Ring-necked Duck,Aythya collaris,waterfowl,Foxes,0.92,,,,
Greater Scaup,Aythya marila,waterfowl,Opossums,0.64,,,,
Lesser Scaup,Aythya affinis,waterfowl,Coyotes,0.7,,,,
Harlequin Duck,Histrionicus histrionicus,waterfowl,Coyotes,0.75,,,,
Surf Scoter,Melanitta perspicillata,waterfowl,Snakes,0.16,,,,
White-winged Scoter,Melanitta deglandi,waterfowl,Opossums,0.72,,,,
Black Scoter,Melanitta americana,waterfowl,Snakes,0.22,,,,
Long-tailed Duck,Clangula hyemalis,waterfowl,Snakes,0.18,,,,
Bufflehead,Bucephala albeola,waterfowl,Foxes,0.11,,,,
Common Goldeneye,Bucephala clangula,waterfowl,Snakes,0.72,,,,
Barrow's Goldeneye,Bucephala islandica,waterfowl,Snakes,0.83,,,,
White-bellied Chachalaca,Ortalis leucogastra,landbird,Snakes,0.19,,,,
Crested Guan,Penelope purpurascens,landbird,Weasels,0.85,,,,
Black Guan,Chamaepetes unicolor,landbird,Raccoons,0.87,,,,
Highland Guan,Penelopina nigra,landbird,Weasels,0.6,,,,
Horned Guan,Oreophasis derbianus,landbird,Stoats,0.98,,,,
Great Curassow,Crax rubra,landbird,Weasels,0.36,,,,
Tawny-faced Quail,Rhynchortyx cinctus,landbird,Snakes,0.83,,,,
Mountain Quail,Oreortyx pictus,landbird,Ferrets,0.57,,,,
Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,landbird,Raccoons,0.57,,,,
Long-tailed Wood-Partridge,Dendrortyx macroura,landbird,Cats,0.02,,,,
Bearded Wood-Partridge,Dendrortyx barbatus,landbird,Ferrets,0.76,,,,
Banded Quail,Philortyx fasciatus,landbird,Eagles,0.36,,,,
Northern Bobwhite,Colinus virginianus,landbird,Cats,0.48,,,,
Black-throated Bobwhite,Colinus nigrogularis,landbird,Snakes,0.58,,,,
Crested Bobwhite,Colinus cristatus,landbird,Snakes,0.6,,,,
Scaled Quail,Callipepla squamata,landbird,Mink,0.1,,,,
Elegant Quail,Callipepla douglasii,landbird,Stoats,0.04,,,,
California Quail,Callipepla californica,landbird,Ferrets,0.92,,,,
Gambel's Quail,Callipepla gambelii,landbird,Weasels,0.48,,,,
Montezuma Quail,Cyrtonyx montezumae,landbird,Mink,0.37,,,,
Black-breasted Wood-Quail,Odontophorus leucolaemus,landbird,Stoats,0.62,,,,
Spotted Wood-Quail,Odontophorus guttatus,landbird,Weasels,0.87,,,,
Wild Turkey,Meleagris gallopavo,landbird,Snakes,0.48,,,,
Ocellated Turkey,Meleagris ocellata,landbird,Cats,0.92,,,,
Ruffed Grouse,Bonasa umbellus,landbird,Eagles,0.95,,,,
Spruce Grouse,Canachites canadensis,landbird,Stoats,0.2,,,,
Willow Ptarmigan,Lagopus lagopus,landbird,Stoats,0.59,,,,
Rock Ptarmigan,Lagopus muta,landbird,Cats,0.41,,,,
White-tailed Ptarmigan,Lagopus leucura,landbird,Cats,0.38,,,,
Greater Sage-Grouse,Centrocercus urophasianus,landbird,Ferrets,0.33,,,,
Gunnison Sage-Grouse,Centrocercus minimus,landbird,Ferrets,0.74,,,,
Dusky Grouse,Dendragapus obscurus,landbird,Cats,0.39,,,,
Sooty Grouse,Dendragapus fuliginosus,landbird,Cats,0.67,,,,
Sharp-tailed Grouse,Tympanuchus phasianellus,landbird,Mink,0.97,,,,
Greater Prairie-Chicken,Tympanuchus cupido,landbird,Weasels,0.44,,,,
Lesser Prairie-Chicken,Tympanuchus pallidicinctus,landbird,Cats,0.81,,,,
Gray Partridge,Perdix perdix,landbird,Cats,0.41,,,,
Ring-necked Pheasant,Phasianus colchicus,landbird,Stoats,0.63,,,,
Himalayan Snowcock,Tetraogallus himalayensis,landbird,Eagles,0.91,,,,
Chukar,Alectoris chukar,landbird,Cats,0.83,,,,
American Flamingo,Phoenicopterus ruber,waterbird,Snakes,0.15,,,,
Least Grebe,Tachybaptus dominicus,waterbird,Foxes,0.05,,,,
Pied-billed Grebe,Podilymbus podiceps,waterbird,Snakes,0.13,,,,
Horned Grebe,Podiceps auritus,waterbird,Snakes,0.87,,,,
Band-tailed Pigeon,Patagioenas fasciata,landbird,Eagles,0.46,,,,
Ruddy Pigeon,Patagioenas subvinacea,landbird,Weasels,0.1,,,,
Short-billed Pigeon,Patagioenas nigrirostris,landbird,Snakes,0.31,,,,
Eurasian Collared-Dove,Streptopelia decaocto,landbird,Eagles,0.35,,,,
Spotted Dove,Streptopelia chinensis,landbird,Mink,0.82,,,,
Inca Dove,Columbina inca,landbird,Weasels,0.33,,,,
Common Ground Dove,Columbina passerina,landbird,Snakes,0.23,,,,
Plain-breasted Ground Dove,Columbina minuta,landbird,Eagles,0.46,,,,
Ruddy Ground Dove,Columbina talpacoti,landbird,Mink,0.91,,,,
Blue Ground Dove,Claravis pretiosa,landbird,Eagles,0.53,,,,
Maroon-chested Ground Dove,Paraclaravis mondetoura,landbird,Mink,0.08,,,,
Ruddy Quail-Dove,Geotrygon montana,landbird,Stoats,0.8,,,,
Violaceous Quail-Dove,Geotrygon violacea,landbird,Snakes,0.61,,,,
Olive-backed Quail-Dove,Leptotrygon veraguensis,landbird,Cats,0.04,,,,
White-tipped Dove,Leptotila verreauxi,landbird,Mink,0,,,,
Groove-billed Ani,Crotophaga sulcirostris,landbird,Stoats,0.1,,,,
Striped Cuckoo,Tapera naevia,landbird,Stoats,0,,,,
Pheasant Cuckoo,Dromococcyx phasianellus,landbird,Eagles,0.53,,,,
Lesser Ground-Cuckoo,Morococcyx erythropygus,landbird,Mink,0.33,,,,
Lesser Roadrunner,Geococcyx velox,landbird,Snakes,0.69,,,,
Greater Roadrunner,Geococcyx californianus,landbird,Stoats,0.8,,,,
Rufous-vented Ground-Cuckoo,Neomorphus geoffroyi,landbird,Cats,0.97,,,,
Little Cuckoo,Coccycua minuta,landbird,Raccoons,0.56,,,,
Squirrel Cuckoo,Piaya cayana,landbird,Eagles,0.67,,,,
Yellow-billed Cuckoo,Coccyzus americanus,landbird,Eagles,0.65,,,,
Mangrove Cuckoo,Coccyzus minor,landbird,Cats,0,,,,
Cocos Cuckoo,Coccyzus ferrugineus,landbird,Snakes,0.56,,,,
Black-billed Cuckoo,Coccyzus erythropthalmus,landbird,Eagles,0.17,,,,
Short-tailed Nighthawk,Lurocalis semitorquatus,landbird,Stoats,0.5,,,,
Lesser Nighthawk,Chordeiles acutipennis,landbird,Ferrets,0.83,,,,
Common Nighthawk,Chordeiles minor,landbird,Stoats,0.95,,,,
Antillean Nighthawk,Chordeiles gundlachii,landbird,Weasels,0.17,,,,
Common Pauraque,Nyctidromus albicollis,landbird,Snakes,0.05,,,,
Common Poorwill,Phalaenoptilus nuttallii,landbird,Cats,0.52,,,,
Eared Poorwill,Nyctiphrynus mcleodii,landbird,Cats,0.94,,,,
Yucatan Poorwill,Nyctiphrynus yucatanicus,landbird,Eagles,0.83,,,,
Ocellated Poorwill,Nyctiphrynus ocellatus,landbird,Ferrets,0.26,,,,
Chuck-will's-widow,Antrostomus carolinensis,landbird,Mink,0.96,,,,
Rufous Nightjar,Antrostomus rufus,landbird,Cats,0.65,,,,
Tawny-collared Nightjar,Antrostomus salvini,landbird,Stoats,0.24,,,,
Black Swift,Cypseloides niger,landbird,Mink,0.67,,,,
White-fronted Swift,Cypseloides storeri,landbird,Ferrets,0.47,,,,
White-chinned Swift,Cypseloides cryptus,landbird,Raccoons,0.18,,,,
Spot-fronted Swift,Cypseloides cherriei,landbird,Weasels,0.85,,,,
Chestnut-collared Swift,Streptoprocne rutila,landbird,Cats,0.24,,,,
White-whiskered Hermit,Phaethornis yaruqui,landbird,Weasels,0.54,,,,
Pale-bellied Hermit,Phaethornis anthophilus,landbird,Ferrets,0.39,,,,
Stripe-throated Hermit,Phaethornis striigularis,landbird,Mink,0.32,,,,
Green-fronted Lancebill,Doryfera ludovicae,landbird,Ferrets,0.41,,,,
Brown Violetear,Colibri delphinae,landbird,Ferrets,0.48,,,,
Mexican Violetear,Colibri thalassinus,landbird,Ferrets,0.97,,,,
Lesser Violetear,Colibri cyanotus,landbird,Cats,0.72,,,,
Tooth-billed Hummingbird,Androdon aequatorialis,landbird,Snakes,0.03,,,,
Purple-crowned Fairy,Heliothryx barroti,landbird,Stoats,0.74,,,,
Green-breasted Mango,Anthracothorax prevostii,landbird,Mink,0.12,,,,
Black-throated Mango,Anthracothorax nigricollis,landbird,Snakes,0.86,,,,
Veraguan Mango,Anthracothorax veraguensis,landbird,Snakes,0.98,,,,
Green Thorntail,Discosura conversii,landbird,Snakes,0.72,,,,
Short-crested Coquette,Lophornis brachylophus,landbird,Ferrets,0.34,,,,
Rufous-crested Coquette,Lophornis delattrei,landbird,Snakes,0.2,,,,
Rufous Hummingbird,Selasphorus rufus,landbird,Stoats,0.41,,,,
Allen's Hummingbird,Selasphorus sasin,landbird,Raccoons,0.38,,,,
Broad-tailed Hummingbird,Selasphorus platycercus,landbird,Eagles,0.6,,,,
Bumblebee Hummingbird,Selasphorus heloisa,landbird,Cats,0.79,,,,
Wine-throated Hummingbird,Selasphorus ellioti,landbird,Cats,0.68,,,,
Volcano Hummingbird,Selasphorus flammula,landbird,Cats,0.36,,,,
Scintillant Hummingbird,Selasphorus scintilla,landbird,Cats,0.43,,,,
Glow-throated Hummingbird,Selasphorus ardens,landbird,Cats,0.3,,,,
Dusky Hummingbird,Phaeoptila sordida,landbird,Snakes,1,,,,
Cozumel Emerald,Cynanthus forficatus,landbird,Stoats,0.59,,,,
Canivet's Emerald,Cynanthus canivetii,landbird,Eagles,0.87,,,,
Garden Emerald,Chlorostilbon assimilis,landbird,Weasels,0.91,,,,
White-eared Hummingbird,Basilinna leucotis,landbird,Raccoons,0.25,,,,
Xantus's Hummingbird,Basilinna xantusii,landbird,Mink,0.46,,,,
Wedge-tailed Sabrewing,Pampa curvipennis,landbird,Eagles,0.67,,,,
Rufous Sabrewing,Pampa rufa,landbird,Raccoons,0.58,,,,
Emerald-chinned Hummingbird,Abeillia abeillei,landbird,Ferrets,0.68,,,,
Violet-headed Hummingbird,Klais guimeti,landbird,Mink,0.36,,,,
Violet Sabrewing,Campylopterus hemileucurus,landbird,Mink,0.49,,,,
Bronze-tailed Plumeleteer,Chalybura urochrysia,landbird,Cats,0.92,,,,
White-vented Plumeleteer,Chalybura buffonii,landbird,Weasels,0.94,,,,
Crowned Woodnymph,Thalurania colombica,landbird,Mink,0.02,,,,
Snowcap,Microchera albocoronata,landbird,Snakes,0.26,,,,
Coppery-headed Emerald,Microchera cupreiceps,landbird,Weasels,0.4,,,,
White-tailed Emerald,Microchera chionura,landbird,Weasels,0.86,,,,
Violet-capped Hummingbird,Goldmania violiceps,landbird,Snakes,0.42,,,,
Pirre Hummingbird,Goldmania bella,landbird,Weasels,0.39,,,,
Mexican Woodnymph,Eupherusa ridgwayi,landbird,Stoats,0.81,,,,
White-tailed Hummingbird,Eupherusa poliocerca,landbird,Snakes,0.21,,,,
Blue-capped Hummingbird,Eupherusa cyanophrys,landbird,Mink,0.33,,,,
Stripe-tailed Hummingbird,Eupherusa eximia,landbird,Eagles,0.62,,,,
Black-bellied Hummingbird,Eupherusa nigriventris,landbird,Stoats,0.73,,,,
Scaly-breasted Hummingbird,Phaeochroa cuvierii,landbird,Ferrets,0.17,,,,
Violet-crowned Hummingbird,Ramosomyia violiceps,landbird,Eagles,0.31,,,,
Common Gallinule,Gallinula galeata,waterbird,Snakes,0.52,,,,
American Coot,Fulica americana,waterbird,Snakes,0.01,,,,
Purple Gallinule,Porphyrio martinicus,waterbird,Coyotes,0.03,,,,
Ocellated Crake,Micropygia schomburgkii,waterbird,Opossums,0.66,,,,
Yellow Rail,Coturnicops noveboracensis,waterbird,Snakes,0.62,,,,
Yellow-breasted Crake,Hapalocrex flaviventer,waterbird,Opossums,0.23,,,,
Ruddy Crake,Laterallus ruber,waterbird,Foxes,0.43,,,,
White-throated Crake,Laterallus albigularis,waterbird,Coyotes,0.25,,,,
Gray-breasted Crake,Laterallus exilis,waterbird,Foxes,0.21,,,,
