SightingID,ReserveName,SpeciesCommonName,SightingDate
0,Kalispell,Black-crested Titmouse,1/26/2013
1,Schatulga,Curve-billed Thrasher,3/11/2019
2,Acoma Pueblo,Bank Swallow,5/17/2021
3,Anvik Village,Chestnut-collared Longspur,6/11/2009
4,Caura,Gray Catbird,6/11/2008
5,Birch Creek,Gray Catbird,9/6/2008
6,Bad River,Yellow-throated Warbler,7/16/2023
7,Bois Forte Band,Willow Flycatcher,1/29/2018
8,Bois Forte Band,Long-billed Thrasher,12/17/2018
9,Beaver Village,Broad-billed Hummingbird,12/30/2016
10,Paria,Yellow Warbler,7/7/2013
11,Kalispell,Bohemian Waxwing,1/27/2011
12,Cataula,Yellow-throated Warbler,5/25/2020
13,Weracoba,Rusty Blackbird,10/29/2009
14,Ochillie,Prothonotary Warbler,4/16/2011
15,Guayaguayare,Arctic Warbler,2/8/2011
16,Aripo ,Sagebrush Sparrow,7/17/2023
17,Caura,Yellow-throated Warbler,11/9/2017
18,Schatulga,Hoary Redpoll,9/3/2020
19,Nankipooh,Chestnut-sided Warbler,2/2/2012
20,Karuk,Sagebrush Sparrow,3/8/2014
21,Beaver Village,Hermit Thrush,5/14/2013
22,Kalispell,Cave Swallow,12/5/2023
23,Cataula,Clay-colored Sparrow,9/7/2008
24,Oropouche ,Varied Thrush,2/12/2024
25,Nankipooh,Nuttall's Woodpecker,5/2/2011
26,Arouca,Wrentit,9/5/2018
27,Couva,Red-eyed Vireo,12/18/2010
28,Weracoba,Hermit Thrush,8/27/2011
29,Oropouche ,Lapland Longspur,12/15/2019
30,Kaw,Turkey Vulture,4/3/2024
31,Mayaro,Hermit Thrush,7/11/2013
32,Caura,Varied Bunting,9/18/2011
33,Kalispell,Yellow-eyed Junco,5/26/2014
34,Ochillie,Red-faced Warbler,3/30/2012
35,Weracoba,Orange-crowned Warbler,9/16/2014
36,Anvik Village,Lesser Goldfinch,5/19/2021
37,Arima,Lesser Goldfinch,4/27/2009
38,Chaguanas,Pine Warbler,5/21/2021
39,Bad River,Western Meadowlark,9/14/2021
40,Mucurapo,Cave Swallow,4/10/2015
41,Karuk,Red-cockaded Woodpecker,8/16/2021
42,Chaguanas,Bicknell's Thrush,6/17/2013
43,Guaico,Cliff Swallow,9/17/2019
44,Anvik Village,Smooth-billed Ani,7/10/2019
45,Tamana,Hermit Thrush,12/3/2021
46,Weracoba,Willow Flycatcher,1/27/2014
47,Kalispell,European Starling,4/26/2020
48,Tamana,Clay-colored Sparrow,9/10/2012
49,Tunapuna,Purple Finch,2/23/2020
50,Acoma Pueblo,Pine Warbler,4/6/2024
51,Blackfeet,California Gnatcatcher,6/28/2011
52,Karuk,Pacific-slope Flycatcher,10/27/2016
53,Bois Forte Band,Red-faced Warbler,5/7/2021
54,Toccoa,White-crowned Pigeon,3/16/2011
55,Birch Creek,Chestnut-sided Warbler,8/1/2009
56,Ochillie,Tricolored Blackbird,9/27/2015
57,Burns Paiute,Hermit Thrush,1/24/2009
58,Tunapuna,Fox Sparrow,4/5/2014
59,Toccoa,Varied Thrush,2/25/2009
60,Couva,Horned Lark,11/12/2015
61,Caroni,Inca Dove,12/4/2023
62,Mucurapo,Gray Catbird,10/26/2012
63,Upatoi,Varied Thrush,6/16/2022
64,Bishop Paiute,Pine Siskin,12/27/2022
65,Paria,Pyrrhuloxia,3/3/2024
66,Oropouche ,Varied Thrush,1/25/2010
67,Mayaro,Williamson's Sapsucker,6/19/2009
68,Couva,Allen's Hummingbird,7/22/2013
69,Kasigluk,Hermit Thrush,6/8/2008
70,Oropouche ,Red-faced Warbler,7/10/2009
71,Guaico,Tropical Parula,11/17/2010
72,Cataula,Hermit Thrush,12/5/2017
73,Caura,Clay-colored Sparrow,11/8/2015
74,Aripo ,Willow Flycatcher,7/31/2015
75,Paria,Lincoln's Sparrow,3/14/2013
76,Caura,Song Sparrow,2/19/2015
77,Burns Paiute,Golden-crowned Sparrow,8/14/2015
78,Birch Creek,Swamp Sparrow,6/1/2011
79,Birch Creek,Song Sparrow,10/18/2018
80,Cataula,Hooded Oriole,7/25/2008
81,Arouca,California Condor,1/29/2008
82,Guaico,Varied Bunting,12/5/2015
83,Tamana,Eurasian Tree Sparrow,12/19/2020
84,Dahlonega,Yellow-throated Warbler,7/25/2014
85,Arouca,Gray Kingbird,7/19/2012
86,Tamana,Eurasian Tree Sparrow,3/11/2020
87,Guaico,Varied Thrush,6/29/2013
88,Arouca,Clay-colored Sparrow,11/30/2019
89,Kasigluk,California Gnatcatcher,10/6/2015
90,Dahlonega,Yellow-throated Warbler,9/27/2023
91,Oropouche ,Sagebrush Sparrow,9/26/2012
92,Nankipooh,Yellow-eyed Junco,9/21/2019
93,Upatoi,Yellow-eyed Junco,11/10/2016
94,Cataula,Chestnut-collared Longspur,2/20/2020
95,Tamana,Clay-colored Sparrow,9/3/2023
96,Big Sandy Rancheria,Rusty Blackbird,5/4/2023
97,Karuk,Bewick's Wren,4/20/2023
98,Anvik Village,Pacific-slope Flycatcher,9/12/2011
99,Bishop Paiute,Eastern Phoebe,7/14/2019
100,Brotherton,Clay-colored Sparrow,9/2/2022
101,Brotherton,Ruby-crowned Kinglet,11/12/2012
102,Tacarigua,Red-faced Warbler,2/24/2018
103,Blackfeet,Pyrrhuloxia,10/28/2013
104,Tunapuna,Rusty Blackbird,10/12/2019
105,Blackfeet,Hoary Redpoll,6/16/2009
106,Beaver Village,Bohemian Waxwing,9/7/2009
107,Bois Forte Band,Willow Flycatcher,3/31/2018
108,Kaw,Black-throated Blue Warbler,4/27/2023
109,Anvik Village,Allen's Hummingbird,6/3/2018
110,Tamana,Brewer's Sparrow,10/24/2009
111,Acoma Pueblo,Tree Swallow,11/26/2011
112,Mayaro,Yellow-breasted Chat,9/26/2015
113,Upatoi,California Gnatcatcher,1/6/2014
114,Birch Creek,Purple Martin,6/8/2014
115,Guaico,Chestnut-collared Longspur,5/14/2012
116,Paria,Horned Lark,1/1/2020
117,Chaguanas,Orange-crowned Warbler,8/24/2014
118,Mayaro,Fox Sparrow,8/12/2012
119,Chaguanas,Cassia Crossbill,5/4/2016
120,Paria,Red-faced Warbler,11/1/2013
121,Upatoi,Eastern Phoebe,6/12/2017
122,Paria,Clay-colored Sparrow,2/24/2013
123,Tacarigua,Song Sparrow,4/11/2022
124,Karuk,Tricolored Blackbird,12/3/2015
125,Acoma Pueblo,LeConte's Sparrow,5/26/2010
126,Birch Creek,Yellow-breasted Chat,1/23/2022
127,Toccoa,Swamp Sparrow,4/2/2015
128,Kalispell,Yellow-eyed Junco,1/24/2008
129,Cataula,Varied Thrush,4/16/2012
130,Oropouche ,Arctic Warbler,7/17/2010
131,Bishop Paiute,Swamp Sparrow,7/9/2016
132,Tamana,Smooth-billed Ani,7/31/2015
133,Kaw,Indigo Bunting,4/8/2023
134,Caura,Yellow-throated Warbler,12/21/2019
135,Beaver Village,Hoary Redpoll,10/31/2015
136,Carapichaima,Scott's Oriole,4/5/2019
137,Weracoba,Eastern Kingbird,5/29/2008
138,Guaico,Tricolored Blackbird,8/28/2022
139,Schatulga,Chestnut-collared Longspur,10/29/2016
140,Tunapuna,Prothonotary Warbler,9/17/2018
141,Weracoba,Harris's Sparrow,8/21/2019
142,Carapichaima,Arctic Warbler,11/12/2016
143,Carapichaima,Bohemian Waxwing,1/25/2016
144,Beaver Village,California Gnatcatcher,12/17/2009
145,Bois Forte Band,Hooded Warbler,5/26/2016
146,Kasigluk,Mexican Chickadee,2/25/2020
147,Upatoi,Varied Thrush,5/12/2014
148,Kalispell,Black-crested Titmouse,8/20/2017
149,Paria,Varied Thrush,3/9/2008
150,Kaw,Sagebrush Sparrow,5/8/2014
151,Guaico,Yellow-throated Warbler,2/19/2014
152,Ochillie,Yellow-eyed Junco,7/7/2012
153,Caroni,Yellow-green Vireo,5/2/2011
154,Guayaguayare,Sagebrush Sparrow,11/29/2012
155,Cataula,Mountain Chickadee,5/12/2014
156,Anvik Village,Rusty Blackbird,5/25/2013
157,Chaguanas,California Gnatcatcher,12/13/2016
158,Tacarigua,Sagebrush Sparrow,7/29/2008
159,Cataula,Pyrrhuloxia,11/20/2012
160,Caroni,Hooded Oriole,7/8/2014
161,Brotherton,Cactus Wren,2/26/2014
162,Nankipooh,Swamp Sparrow,5/10/2024
163,Acoma Pueblo,Varied Bunting,9/15/2021
164,Tunapuna,Lincoln's Sparrow,12/10/2019
165,Bois Forte Band,Song Sparrow,8/17/2017
166,Couva,Ruby-crowned Kinglet,5/22/2015
167,Arouca,Song Sparrow,12/8/2023
168,Carapichaima,Eastern Towhee,2/19/2014
169,Carapichaima,Varied Thrush,9/29/2022
170,Big Sandy Rancheria,Hermit Thrush,5/24/2008
171,Upatoi,Northern Shrike,2/22/2017
172,Beaver Village,Chestnut-sided Warbler,12/23/2020
173,Bad River,Yellow-eyed Junco,12/30/2014
174,Weracoba,Hermit Thrush,2/15/2019
175,Chaguanas,Rusty Blackbird,10/14/2017
176,Ochillie,Varied Thrush,3/6/2014
177,Caroni,Northern Mockingbird,1/22/2008
178,Mayaro,Willow Flycatcher,12/28/2021
179,Bois Forte Band,Cliff Swallow,1/26/2009
180,Anvik Village,Swamp Sparrow,9/1/2010
181,Bishop Paiute,Dark-eyed Junco,6/13/2010
182,Bad River,Colima Warbler,7/12/2022
183,Tunapuna,Red-eyed Vireo,12/4/2014
184,Karuk,California Gnatcatcher,9/28/2012
185,Bois Forte Band,California Gnatcatcher,1/15/2017
186,Arima,Cave Swallow,1/25/2023
187,Karuk,Varied Thrush,6/3/2021
188,Blackfeet,Varied Thrush,4/14/2017
189,Cataula,Chestnut-collared Longspur,10/25/2016
190,Weracoba,Gray Catbird,2/1/2015
191,Tunapuna,Bohemian Waxwing,10/31/2008
192,Birch Creek,Varied Thrush,9/13/2011
193,Kasigluk,Long-billed Thrasher,9/26/2014
194,Mayaro,California Towhee,1/9/2015
195,Mucurapo,Hermit Thrush,7/3/2009
196,Cataula,Smooth-billed Ani,2/15/2024
197,Caura,Varied Thrush,5/5/2021
198,Cataula,Yellow-throated Warbler,9/17/2015
199,Caura,Florida Scrub-Jay,7/2/2014
200,Tamana,Wood Thrush,8/13/2008
201,Blackfeet,Colima Warbler,4/3/2019
202,Guaico,Golden-crowned Sparrow,10/22/2015
203,Carapichaima,Colima Warbler,5/15/2017
204,Caura,Brown-headed Nuthatch,9/6/2014
205,Bois Forte Band,Pyrrhuloxia,11/21/2012
206,Aripo ,Smooth-billed Ani,10/3/2014
207,Tunapuna,Yellow-green Vireo,12/21/2018
208,Caroni,Cliff Swallow,11/25/2013
209,Blackfeet,Black-throated Blue Warbler,9/22/2012
210,Upatoi,Bicknell's Thrush,10/21/2011
211,Mucurapo,Wood Thrush,1/3/2024
212,Aripo ,Eurasian Tree Sparrow,1/24/2023
213,Oropouche ,Blackpoll Warbler,12/26/2017
214,Schatulga,Northern Shrike,2/14/2019
215,Schatulga,Rock Ptarmigan,7/25/2017
216,Carapichaima,Pine Siskin,2/1/2011
217,Big Sandy Rancheria,Fox Sparrow,7/25/2011
218,Couva,Colima Warbler,5/6/2013
219,Upatoi,Lapland Longspur,12/6/2013
220,Arima,Tricolored Blackbird,8/7/2014
221,Anvik Village,Lesser Goldfinch,6/28/2010
222,Caura,Tricolored Blackbird,6/30/2012
223,Oropouche ,Lincoln's Sparrow,2/2/2012
224,Blackfeet,Yellow-throated Warbler,8/15/2022
225,Tunapuna,Canyon Wren,11/26/2010
